xNose;yNose;scoreNose;xNeck;yNeck;scoreNeck;xRShoulder;yRShoulder;scoreRShoulder;xRElbow;yRElbow;scoreRElbow;xRWrist;yRWrist;scoreRWrist;xLShoulder;yLShoulder;scoreLShoulder;xLElbow;yLElbow;scoreLElbow;xLWrist;yLWrist;scoreLWrist;xRHip;yRHip;scoreRHip;xRKnee;yRKnee;scoreRKnee;xRAnkle;yRAnkle;scoreRAnkle;xLHip;yLHip;scoreLHip;xLKnee;yLKnee;scoreLKnee;xLAnkle;yLAnkle;scoreLAnkle;xREye;yREye;scoreREye;xLEye;yLEye;scoreLEye;xREar;yREar;scoreREar;xLEar;yLEar;scoreLEar;label
309.07;630.46;0.87804;177.32;97.7;0.999;193.54;79.247;0.99814;155.68;82.301;0.99812;216.69;91.338;0.90641;128.79;101.25;0.90533;251.27;199.17;0.99265;98.924;202.36;0.9923;271.67;323.17;0.97165;80.693;330.97;0.97139;297.29;427.76;0.96067;73.077;447.5;0.96253;234.75;403.19;0.98317;129.73;406.55;0.98289;260.24;488.4;0.93344;158.79;495.89;0.9386;251.12;617.52;0.63698;146.77;617.04;0.65604;1
262.52;622.09;0.95142;152.94;83.697;0.99877;167.11;68.254;0.99757;135.28;70.982;0.99632;188.74;78.45;0.92751;112.54;86.508;0.76006;217.44;166.05;0.98238;90.483;171.22;0.98226;235.33;272.35;0.95341;74.907;283.24;0.95456;259.16;362.69;0.94119;69.947;377.59;0.9439;202.47;332.15;0.98349;118.46;337.08;0.98356;232;409.38;0.97055;141.82;412.43;0.97184;220.76;521.56;0.91201;138.68;540.66;0.91513;1
270.23;635.08;0.95366;152.89;84.804;0.99895;166.75;67.963;0.99784;134.81;71.247;0.99672;188.64;78.069;0.93359;112.25;87.486;0.76445;219.2;167.02;0.98283;89.146;171.71;0.98288;237.36;276.69;0.95425;71.551;287.72;0.95605;261.66;369.14;0.94178;66.085;384.54;0.94517;202.95;336.37;0.98381;116.08;340.95;0.98394;235.05;419.36;0.97006;140.14;419.96;0.97151;223.37;533.16;0.90754;137.34;553.65;0.91118;1
480.41;483.14;0.95368;370.33;105.49;0.82143;375.21;95.329;0.84044;373.64;95.72;0.026827;395.45;103.92;0.98747;419.47;102.48;0.28846;385.39;185.62;0.9635;455.7;171.18;0.96069;328.7;294.19;0.93579;488.32;250.72;0.88346;282.77;287.86;0.92486;421.97;236.29;0.83799;345.13;342.43;0.96404;379.15;330.12;0.96209;194.74;345.79;0.9719;196.86;305.25;0.9617;153.86;497.49;0.92503;121.53;444.31;0.91307;1
161.71;627.72;0.92841;27.337;93.674;0.97676;40.812;80.739;0.99298;33.888;79.466;0.05409;86.63;97.618;0.99333;71.821;89.725;0.090614;111.96;199.79;0.95556;82.995;173.79;0.64605;109.46;339.79;0.93227;79.267;303.72;0.18339;81.497;454.74;0.85832;64.749;412.45;0.16772;107.55;402.19;0.93887;86.571;389.36;0.819;92.109;510.14;0.85264;77.779;499.45;0.64584;107.48;627.52;0.53686;99.136;608.7;0.37174;1
150.18;628.6;0.89435;59.361;90.617;0.91236;72.985;79.931;0.97729;63.518;77.727;0.093504;119.06;95.156;0.9951;105.18;85.288;0.040705;143.14;188.8;0.98576;112.96;166.15;0.80418;140.03;323.81;0.97042;107.41;291.22;0.15052;111.01;440.6;0.9142;88.319;397.11;0.13048;136.32;390.39;0.96505;116.92;378.8;0.86561;121.25;506.53;0.91736;115.15;489.85;0.69538;133.19;621.84;0.64751;129.02;587.61;0.39728;1
142.95;625.68;0.92985;48.646;91.621;0.97063;60.438;79.583;0.99114;54.835;78.992;0.042999;105.04;95.767;0.99476;93.347;86.737;0.079553;133.22;194.38;0.94948;103.29;167.65;0.62682;124.77;332;0.93157;95.909;293.76;0.1804;92.202;442.32;0.86687;75.036;396.79;0.17075;116.78;392.95;0.94857;97.566;378.73;0.8461;102.43;508.62;0.9001;90.583;493.53;0.73987;108.95;627.32;0.66854;102.96;598.81;0.51057;1
150.58;624.44;0.92678;39.531;86.956;0.96233;50.367;76.6;0.98677;44.11;75.335;0.064953;91.382;88.297;0.99214;79.98;79.754;0.080717;118.6;180.8;0.95225;89.649;154.48;0.62341;111.47;309.42;0.93193;85.47;269.85;0.17379;80.758;412.75;0.86589;66.421;363.41;0.16762;107.16;361.9;0.95754;86.054;348.59;0.86793;93.115;477.2;0.9471;80.067;457.95;0.84631;100.56;595.56;0.84349;93.455;552.91;0.73468;1
198.17;617.86;0.937;128.41;79.82;0.9986;140.92;65.958;0.99779;114.08;67.326;0.9971;159.71;66.894;0.91059;95.923;69.797;0.80121;179.73;140.43;0.98836;77.817;140.28;0.98975;194.89;229.8;0.9646;56.71;230.79;0.97118;209.06;312.69;0.96234;35.706;318.39;0.96853;157.44;306.99;0.99174;90.948;307.63;0.99236;134.54;408.12;0.98686;92.752;432.33;0.98881;119.67;481.91;0.96037;87.251;558.46;0.96086;1
228.9;634.39;0.95578;165.74;87.273;0.9994;181.54;71.514;0.99908;149.78;73.363;0.99759;207;75.803;0.97371;132.18;80.131;0.69037;232.88;163.56;0.97681;112.58;157.74;0.97814;247.89;272.6;0.94922;84.229;260.74;0.95147;255.96;370.31;0.93944;58.786;352.78;0.94015;197.65;343.89;0.9854;118.89;339.31;0.98586;186.5;466.39;0.96798;112.34;466.32;0.96836;180.04;575.57;0.8791;95.328;583.08;0.87985;1
196.32;621.13;0.89437;141.51;85.344;0.99828;154.55;71.82;0.99698;127.85;71.675;0.99716;171.79;74.149;0.86;106.81;72.505;0.8685;187.5;149.99;0.98814;85.197;146.61;0.99085;200.35;241.25;0.95812;63.78;243.18;0.97405;213.55;322.53;0.95453;42.43;331.46;0.96978;164.69;318.85;0.99112;97.541;318.1;0.99222;141.94;418.76;0.98531;99.683;437.97;0.98837;127.26;489.69;0.95763;90.625;562.5;0.96053;1
197.15;621.15;0.91612;143.68;90.604;0.99871;156.33;76.067;0.99765;129.07;77.353;0.99793;174.67;75.225;0.84863;108.26;77.88;0.85583;192.22;152.39;0.99074;89.565;151.81;0.99051;208.07;242.51;0.97085;68.665;247.35;0.9725;220.93;323.57;0.96783;48.591;335.01;0.96947;170.67;320.59;0.99249;103.68;321.38;0.99256;149.21;422.41;0.98691;105.66;443.43;0.98803;134.92;491.56;0.95801;102.91;561.63;0.95635;1
196.86;618.24;0.9268;138.02;82.63;0.99847;150.74;68.217;0.99724;123.62;69.297;0.99726;169.04;67.645;0.86798;103.9;69.739;0.8361;186.94;144.32;0.98837;84.63;142.85;0.99062;199.97;235.66;0.96246;62.447;236.78;0.97374;212.85;319.53;0.96012;41.162;325.17;0.97057;163.98;313.05;0.99168;97.163;313.15;0.99257;140.41;413.92;0.98677;98.603;435.76;0.98915;124.68;484.77;0.9612;91.603;557.22;0.96292;1
195.57;621.56;0.91686;141.54;92.972;0.99864;153.84;78.358;0.99731;127.32;79.955;0.99723;172.48;76.807;0.88012;106.82;76.561;0.79117;189.82;151.74;0.98331;87.128;148.78;0.9876;202.38;243.68;0.94856;64.428;242.91;0.96777;212.94;324.97;0.94893;42.575;330.6;0.96504;167.45;319.45;0.98925;100.6;318.83;0.99085;139.96;420.82;0.98471;100.48;439.26;0.98809;124.53;488.42;0.9588;91.415;565.28;0.96249;1
249.24;629.73;0.95495;200.15;155.32;0.99849;218.28;145.1;0.99828;189.6;138.94;0.99556;240.6;152.94;0.93072;173.36;137.03;0.66047;246.6;222.37;0.97241;139.97;195.9;0.97721;251.46;315.14;0.94535;49.956;176.68;0.95607;262.31;398.3;0.9387;70.261;79.679;0.94502;208.26;375.15;0.98508;138.55;370.47;0.98658;195.05;480.47;0.96978;140.45;483.63;0.97074;186.93;571.82;0.89257;141.7;552.43;0.89548;1
277.79;627.5;0.91613;249.04;184.51;0.99678;269.65;173.36;0.99596;237.62;165.07;0.99258;295.31;179.5;0.87929;219.19;161.61;0.67412;299.38;258.67;0.96087;182.38;226.58;0.97646;305.45;364.88;0.91044;78.456;205.29;0.95242;317.02;458.98;0.89247;103.07;95.688;0.93433;255.26;434.4;0.96608;177.78;425.26;0.97349;239.19;559.78;0.80778;179.11;555.46;0.83446;232.87;634.36;0.34241;181.99;631.28;0.3694;1
364.12;628.87;0.9634;215.03;136.38;0.99656;227.69;122.53;0.99141;198.09;125.21;0.99176;247.35;130.49;0.7683;178;138.2;0.72392;272.09;206.83;0.97584;153.95;205.25;0.97547;372.5;201.4;0.94916;56.375;205.05;0.94898;354.77;94.161;0.94147;62.422;94.668;0.94149;250.12;401.04;0.98188;173.73;399.71;0.98182;238.17;524.08;0.90036;182.91;525.77;0.90029;234.22;628.61;0.5341;182.51;631;0.53286;1
215.85;605.41;0.94694;118.07;140.22;0.99904;137.01;116.42;0.99909;96.812;120.35;0.99683;168.05;131.12;0.9824;74.989;137.74;0.75259;196.24;239.08;0.97613;51.484;238.27;0.97859;208.8;358.12;0.92835;37.226;366.5;0.9352;215.74;458.99;0.89933;29.769;472.33;0.90652;166.77;440.69;0.96626;82.041;440.75;0.96757;154.13;554.61;0.82067;93.283;558.05;0.82641;150.23;628.13;0.4331;102.02;630.53;0.439;1
194.02;610.84;0.91873;131.49;109.89;0.99935;146.53;91.679;0.99883;113.63;94.238;0.99749;168.98;100.95;0.93851;92.454;108.5;0.72617;190.61;195.53;0.97777;72.857;197.55;0.97551;203.27;297.55;0.94523;54.207;306.65;0.93504;212.52;384.74;0.9283;43.479;398.54;0.9168;165.94;373.07;0.98299;94.358;374.01;0.98207;154.18;479.65;0.96026;104.19;482.38;0.95794;152.07;563.09;0.87639;109.9;567.11;0.8723;1
230.5;632.42;0.8949;141.67;93.278;0.99887;158.17;77.944;0.99834;124.56;79.1;0.99771;181.25;91.039;0.9371;102.43;95.649;0.84268;203.92;189.53;0.98893;77.929;185.49;0.99096;217.64;306.39;0.96183;51.637;305.77;0.96835;229.66;403.9;0.95331;28.372;409.63;0.95893;176.14;388.6;0.98297;93.853;387.67;0.98399;154.24;522.61;0.8982;101.9;529.25;0.90366;144.33;618.09;0.4016;100.84;623.41;0.4098;1
375.24;628.5;0.95383;243.5;106.25;0.99931;257.58;85.309;0.99821;222.6;89.29;0.99821;278.58;88.874;0.85092;194.32;100.92;0.81294;301.3;178.3;0.98248;168.01;185.24;0.98445;345.03;276.74;0.94931;116.65;298.12;0.95699;392.13;359.13;0.92932;59.201;391.86;0.93685;273.37;383.47;0.98066;189.51;385.36;0.98144;258.61;513.92;0.9069;196.47;517.57;0.9108;249.14;614.69;0.59514;195.15;621.33;0.60053;1
206.84;629.06;0.92327;136.03;87.422;0.99892;152.24;73.442;0.99824;120.81;73.698;0.99642;175.54;82.594;0.96151;101.91;83.162;0.69997;197.67;170.17;0.97297;76.929;163.16;0.9767;207.29;280.22;0.93854;56.257;268.19;0.94781;206.38;378.22;0.92473;41.266;363.04;0.93334;163.37;348.95;0.98381;86.904;344.4;0.98492;153.08;466.07;0.96543;79.857;466.22;0.96751;148.26;569.59;0.88596;66.625;581.16;0.89056;1
217.48;633.78;0.95052;160.33;82.614;0.99934;176.91;67.902;0.99893;145.69;67.879;0.99744;201.33;75.566;0.97356;127.85;75.774;0.68725;225.36;165.77;0.97645;102.61;156.08;0.97744;231.02;279.26;0.94927;79.432;261.81;0.94914;229.26;378.9;0.93838;61.087;357.47;0.9361;186.67;346.09;0.98555;108.56;340.41;0.98582;175.5;467.77;0.96808;101.13;465.42;0.96775;169.13;574.73;0.88385;85.107;579.77;0.88301;1
229.95;623.68;0.92303;133.02;86.394;0.99875;148.29;71.648;0.99853;118.25;72.578;0.99677;172.74;77.288;0.95601;100.18;79.972;0.7656;195.89;164.39;0.99094;79.761;157.15;0.99199;213.03;271.12;0.96947;52.474;256.01;0.97273;220.94;369.17;0.96358;25.492;348.79;0.96724;163.16;344.43;0.99146;84.94;339.69;0.99184;151.5;461.72;0.98181;76.717;461.95;0.98273;144.27;567.51;0.92457;59.013;573.76;0.92605;1
124.5;622.24;0.88263;292.85;66.075;0.95985;291.96;55.635;0.26236;282.99;56.001;0.97486;273.12;63.291;0.020835;246.87;58.4;0.9615;257.56;138.62;0.79278;235.93;145.59;0.9848;265.83;248.28;0.14814;244.74;263.46;0.96989;287.57;337.96;0.1706;277.1;354.81;0.93398;276.01;318.88;0.91806;259.39;324.51;0.98177;273.62;456.6;0.92742;260.31;467.98;0.98642;269.4;562.7;0.88174;243.59;601.16;0.95974;1
297.19;294.06;0.93678;265.58;195.46;0.9804;269.43;179.86;0.50129;256.37;177.44;0.99087;254.04;175.91;0.015421;208.33;168.05;0.91531;254.75;248.36;0.95445;132.57;244.88;0.95849;275.75;333.52;0.81841;156.44;363.38;0.88;334.79;336.65;0.78793;287.12;357.47;0.85707;229.05;424.63;0.57811;145.94;431.09;0.57571;325.08;429.86;0.073506;235.46;438.13;0.086152;287.03;415.34;0.025695;229.48;409.62;0.028176;1
400.46;357.44;0.94835;444.05;161.45;0.99725;458.56;140.6;0.99727;433.66;147.92;0.96969;501.91;139.27;0.9787;430.93;156.32;0.30893;564.23;246.99;0.94003;433;256.81;0.96525;561.42;394.53;0.83269;384.27;383.14;0.87167;434.22;407.03;0.85817;283.52;401.8;0.86259;537.52;443.44;0.40263;446.12;441.05;0.46383;463.66;442.25;0.048709;350.09;438.37;0.052088;433.86;415.86;0.018407;379.2;419;0.019425;1
344.28;329.85;0.92976;345.04;27.192;0.031743;353.07;19.789;0.0089048;340.59;20.824;0.0071035;379.33;24.491;0.029269;351.79;25.186;0.03273;455.76;84.747;0.92852;340.7;75.055;0.93003;430.49;234.54;0.97457;297.45;174.46;0.95644;300;292.58;0.94262;240.01;230.22;0.89878;404.76;306.69;0.92786;326.26;279.64;0.93324;274.24;359.25;0.16443;214.62;323.49;0.14115;313.83;342.83;0.01952;284.04;334.25;0.018098;1
344.28;329.85;0.92976;345.04;27.192;0.031743;353.07;19.789;0.0089048;340.59;20.824;0.0071035;379.33;24.491;0.029269;351.79;25.186;0.03273;455.76;84.747;0.92852;340.7;75.055;0.93003;430.49;234.54;0.97457;297.45;174.46;0.95644;300;292.58;0.94262;240.01;230.22;0.89878;404.76;306.69;0.92786;326.26;279.64;0.93324;274.24;359.25;0.16443;214.62;323.49;0.14115;313.83;342.83;0.01952;284.04;334.25;0.018098;1
